index,season no.,episode no.,episode name,name,line
2488,4,1,"Edge of Tomorty: Rick Die Rickpeat","Summer","Morty's on Jessica's Instagram again."
2489,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Get out of here, jerk!"
2490,4,1,"Edge of Tomorty: Rick Die Rickpeat","Jerry","What's so embarrassing, Morty? Sharing it with your family might help."
2491,4,1,"Edge of Tomorty: Rick Die Rickpeat","Beth","Summer, stop shaming your brother.  Morty, stop being a creepy, perverted cyberstalker."
2492,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","I'm not cyberstalking! I-I-I just wanted to know where she got this necklace from."
2493,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Hi. I've placed an auto-response chip in my brain so I can spend time with my family."
2494,4,1,"Edge of Tomorty: Rick Die Rickpeat","Beth","But you are spending time with your family."
2495,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Uh..."
2496,4,1,"Edge of Tomorty: Rick Die Rickpeat","Beth","Dad? There's a way we do this now."
2497,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Morty, would you please accompany me to Forbodulon Prime for death crystals?"
2498,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Well, thank you for asking. Yes, I will do that."
2499,4,1,"Edge of Tomorty: Rick Die Rickpeat","Summer","It is a hot photo."
2500,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","You're thinking of bullets, Morty. Death crystals show you how you're gonna die."
2501,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Jesus Christ! I-I die a million times?"
2502,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Your future stems from your [BURPS] present, which, if you're living right, keeps changing. Truth is, anyone that knows how they're definitely gonna die is either boring as hell or about to get shit."
2503,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Crystal poachers."
2504,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","I will avenge my death."
2505,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Holy shit!"
2506,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","Just kidding. I'm a crisis detection and correction hologram generated by a chip that 'real' Rick put in your spine. 'Real' in quotes because calling density-privileged entities 'real' is incredibly holo-phobic. Morty, do me a solid... problematic wordplay aside... grab the gun with the blue handle from the trunk and get a tissue sample from the corpse."
2507,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","Alright, now take that to the trunk and insert it into the clone compiler. I see you appear to be holding a death crystal that's guiding your decisions more than I am. That's your right. I just want to remind you that some people can't hold anything and can never die, so that's a little offensive to..."
2508,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Then we'll get along fine, Fascist Morty."
2509,4,1,"Edge of Tomorty: Rick Die Rickpeat","Fascist Morty","You will go where I want you to go!!"
2510,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","Hey, hey! Ho, ho! Not cloning your grandpa has got to go! Hey, hey! Ho, ho! Not cloning your grandpa has got to go!"
2511,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","Alright. Okay, regroup, everybody. You, too, Berkeley!"
2512,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","Here's an idea, Morty. Throw that thing in the garbage, stop planning your own death, and talk to whoever you want."
2513,4,1,"Edge of Tomorty: Rick Die Rickpeat","Holo-Rick","You're better than that language, Morty."
2514,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","I ain't better than shit, Jack."
2515,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","No, it looks like this. It's, like, identical to this, actually."
2516,4,1,"Edge of Tomorty: Rick Die Rickpeat","Rick","Goddamnit! When did this shit become the default?!"
2517,4,1,"Edge of Tomorty: Rick Die Rickpeat","Morty","Apparently, it doesn't matter."
